 5.000e+03 		1.771e-15
 4.000e+03  		5.938e-16
 3.000e+03  		3.238e-15
 2.000e+03 		4.120e-15
 1.000e+03 		2.347e-15
 8.000e+02 		1.264e-15
 6.000e+02 		3.572e-16 
 4.500e+02 		1.460e-17
 4.000e+02 		7.065e-18
 3.000e+02 		1.713e-17 
 2.350e+02 		6.290e-18
 2.000e+02 		2.976e-17
 1.900e+02 		7.990e-18
 1.800e+02  		8.530e-18   
 1.500e+02 		4.052e-17
 1.400e+02 		1.022e-17
 1.200e+02 		1.035e-17
 1.000e+02 		4.192e-17
 9.000e+01 		9.723e-18
 8.000e+01 		8.913e-18
 7.000e+01 		7.733e-18   
 6.000e+01 		5.675e-18
 5.000e+01 		3.948e-18
 4.000e+01 		1.624e-18
 3.000e+01 		5.073e-19
 2.500e+01 		2.368e-19
 2.000e+01 		9.350e-20
 1.800e+01 		9.850e-20 
 1.200e+01 		1.055e-19
 1.100e+01		1.068e-19
 1.000e+01		1.080e-19
 9.000e+00		9.425e-20
 8.000e+00		8.025e-20
 6.000e+00		1.100e-19
 5.000e+00 		1.458e-19 
 4.000e+00 		2.010e-19
 3.400e+00 		2.485e-19 
 3.000e+00		2.875e-19
 2.400e+00		3.610e-19
 2.200e+00		3.860e-19
 1.800e+00 		4.363e-19
 1.200e+00 		4.423e-19 
 9.000e-01		3.545e-20
 7.000e-01		2.480e-20
 5.500e-01		1.578e-20
 4.350e-01 		9.425e-20
 3.460e-01		5.150e-20
 3.000e-01		3.375e-20
 2.500e-01 		1.505e-20 
 2.300e-01		1.445e-20
 2.150e-01 		1.423e-20
 2.100e-01 		1.405e-20
 2.000e-01		1.375e-20
 1.800e-01		1.333e-20
 1.430e-01		1.230e-20
 1.300e-01		1.143e-20  
 1.100e-01 		8.175e-21
 1.000e-01		4.850e-21
 9.100e-02 		2.950e-21                                         
